first_name,last_name,latest_team,position,college_name,age,overall,birthdate,height,weight,handedness,jerseyNum,yearsPro,Archetype,stats/acceleration/value,stats/acceleration/diff,stats/agility/value,stats/agility/diff,stats/jumping/value,stats/jumping/diff,stats/stamina/value,stats/stamina/diff,stats/strength/value,stats/strength/diff,stats/awareness/value,stats/awareness/diff,stats/bCVision/value,stats/bCVision/diff,stats/blockShedding/value,stats/blockShedding/diff,stats/breakSack/value,stats/breakSack/diff,stats/breakTackle/value,stats/breakTackle/diff,stats/carrying/value,stats/carrying/diff,stats/catchInTraffic/value,stats/catchInTraffic/diff,stats/catching/value,stats/catching/diff,stats/changeOfDirection/value,stats/changeOfDirection/diff,stats/deepRouteRunning/value,stats/deepRouteRunning/diff,stats/finesseMoves/value,stats/finesseMoves/diff,stats/hitPower/value,stats/hitPower/diff,stats/impactBlocking/value,stats/impactBlocking/diff,stats/injury/value,stats/injury/diff,stats/jukeMove/value,stats/jukeMove/diff,stats/kickAccuracy/value,stats/kickAccuracy/diff,stats/kickPower/value,stats/kickPower/diff,stats/kickReturn/value,stats/kickReturn/diff,stats/leadBlock/value,stats/leadBlock/diff,stats/manCoverage/value,stats/manCoverage/diff,stats/mediumRouteRunning/value,stats/mediumRouteRunning/diff,stats/overall/value,stats/overall/diff,stats/passBlock/value,stats/passBlock/diff,stats/passBlockFinesse/value,stats/passBlockFinesse/diff,stats/passBlockPower/value,stats/passBlockPower/diff,stats/playAction/value,stats/playAction/diff,stats/playRecognition/value,stats/playRecognition/diff,stats/powerMoves/value,stats/powerMoves/diff,stats/press/value,stats/press/diff,stats/pursuit/value,stats/pursuit/diff,stats/release/value,stats/release/diff,stats/runBlock/value,stats/runBlock/diff,stats/runBlockFinesse/value,stats/runBlockFinesse/diff,stats/runBlockPower/value,stats/runBlockPower/diff,stats/runningStyle/value,stats/runningStyle/diff,stats/shortRouteRunning/value,stats/shortRouteRunning/diff,stats/spectacularCatch/value,stats/spectacularCatch/diff,stats/speed/value,stats/speed/diff,stats/spinMove/value,stats/spinMove/diff,stats/stiffArm/value,stats/stiffArm/diff,stats/tackle/value,stats/tackle/diff,stats/throwAccuracyDeep/value,stats/throwAccuracyDeep/diff,stats/throwAccuracyMid/value,stats/throwAccuracyMid/diff,stats/throwAccuracyShort/value,stats/throwAccuracyShort/diff,stats/throwOnTheRun/value,stats/throwOnTheRun/diff,stats/throwPower/value,stats/throwPower/diff,stats/throwUnderPressure/value,stats/throwUnderPressure/diff,stats/toughness/value,stats/toughness/diff,stats/trucking/value,stats/trucking/diff,stats/zoneCoverage/value,stats/zoneCoverage/diff,yearsLeft,contract_apy,contract_guarantees,Snaps,snaps_pct
Christian,McCaffrey,SF,HB,Stanford,28,94,06/07/1996,71,205,Right,23,8,Receiving Back - HB,93,0,95,0,90,0,93,0,74,0,99,0,97,0,32,0,38,0,90,0,96,0,72,0,83,0,93,0,67,0,10,0,27,0,45,0,87,0,94,0,23,0,29,0,88,0,47,0,12,0,76,0,94,0,64,0,32,0,36,0,31,0,27,0,10,0,15,0,44,0,76,0,38,0,22,0,22,0,,0,83,0,75,0,91,0,87,0,80,0,36,0,33,0,41,0,45,0,47,0,52,0,37,0,93,0,65,0,17,0,2,19000000,24000000,83.00%,
Patrick,Mahomes,KC,QB,Texas Tech,28,95,9/17/95,74,225,Right,15,8,Improviser - QB,88,0,87,0,74,0,97,0,70,0,99,0,88,0,24,0,92,0,75,0,66,0,32,0,59,0,87,0,15,0,10,0,18,0,27,0,94,0,74,0,10,0,20,0,10,0,23,0,17,0,17,0,95,0,10,0,10,0,10,0,96,0,22,0,10,0,10,0,37,0,22,0,23,0,10,0,10,0,Default,0,27,0,30,0,87,0,71,0,57,0,26,0,86,0,94,0,98,0,98,0,97,0,98,0,99,0,51,0,19,0,6,45000000,63081905,83.90%,
Travis,Kelce,KC,TE,Cincinnati,34,93,10/05/1989,77,250,Right,87,12,Vertical Threat - TE,87,0,85,0,94,0,97,0,79,0,99,0,92,0,40,0,42,0,78,0,72,0,90,0,96,0,75,0,79,0,20,0,15,0,74,0,97,0,83,0,32,0,35,0,6,0,59,0,12,0,85,0,93,0,66,0,63,0,64,0,29,0,15,0,20,0,10,0,42,0,85,0,69,0,66,0,65,0,Long Stride High and Tight,0,88,0,93,0,85,0,71,0,85,0,45,0,49,0,53,0,64,0,47,0,70,0,33,0,94,0,78,0,14,0,0,17125000,17000000,81.00%,81.00%
Trent,Williams,SF,LT,Oklahoma,36,97,7/19/88,77,320,Right,71,15,Power - OT,75,0,72,0,83,0,91,0,98,0,99,0,10,0,32,0,12,0,7,0,40,0,15,0,20,0,57,0,5,0,10,0,60,0,99,0,88,0,10,0,10,0,11,0,10,0,99,0,10,0,5,0,97,0,93,0,90,0,96,0,6,0,19,0,10,0,10,0,33,0,15,0,98,0,99,0,98,0,Default Stride Awkward,0,15,0,51,0,77,0,10,0,10,0,39,0,6,0,6,0,6,0,6,0,12,0,14,0,98,0,10,0,14,0,1,27553333,26900000,88.80%,
Tyreek,Hill,FA,WR,West Alabama,30,95,03/01/1994,70,191,Left,10,9,Deep Threat - WR,98,0,98,0,92,0,92,0,64,0,99,0,97,0,21,0,28,0,85,0,77,0,87,0,95,0,98,0,98,0,10,0,25,0,40,0,92,0,98,0,15,0,13,0,92,0,20,0,10,0,98,0,95,0,33,0,19,0,19,0,19,0,26,0,10,0,30,0,33,0,99,0,59,0,12,0,17,0,,0,98,0,91,0,99,0,86,0,45,0,27,0,23,0,28,0,31,0,28,0,41,0,24,0,93,0,37,0,20,0,1,30000000,54000000,15.80%,15.80%
Justin,Jefferson,MIN,WR,LSU,25,99,6/16/99,73,195,Right,18,5,Deep Threat - WR,93,0,93,0,97,0,98,0,64,0,96,0,88,0,24,0,23,0,81,0,75,0,98,0,98,0,97,0,97,0,24,0,43,0,52,0,94,0,93,0,12,0,18,0,61,0,34,0,18,0,97,0,99,0,25,0,13,0,18,0,24,0,19,0,18,0,18,0,41,0,98,0,51,0,27,0,29,0,Long Stride Loose,0,97,0,99,0,92,0,80,0,75,0,36,0,24,0,30,0,35,0,33,0,43,0,29,0,87,0,61,0,26,0,3,35000000,88743000,94.00%,
Lamar,Jackson,BAL,QB,Louisville,27,99,01/07/1997,74,210,Right,8,7,Improviser - QB,95,0,95,0,91,0,92,0,63,0,98,0,98,0,16,0,98,0,82,0,70,0,17,0,64,0,96,0,13,0,10,0,27,0,29,0,89,0,91,0,19,0,12,0,10,0,21,0,12,0,15,0,99,0,13,0,13,0,13,0,97,0,10,0,12,0,10,0,38,0,17,0,14,0,14,0,14,0,Short Stride Default,0,20,0,15,0,95,0,83,0,76,0,35,0,84,0,95,0,97,0,97,0,93,0,96,0,96,0,39,0,12,0,2,52000000,135000000,69.20%,
Micah,Parsons,GB,RE,Penn State,25,98,5/26/99,75,245,Right,11,4,Smaller Speed Rusher - DE,95,0,91,0,85,0,89,0,87,0,98,0,71,0,78,0,12,0,57,0,69,0,44,0,62,0,77,0,31,0,96,0,84,0,81,0,93,0,71,0,20,0,20,0,60,0,20,0,61,0,36,0,98,0,45,0,45,0,45,0,6,0,96,0,89,0,57,0,94,0,36,0,45,0,45,0,45,0,Default Stride Loose,0,40,0,47,0,91,0,61,0,58,0,89,0,6,0,6,0,6,0,6,0,30,0,15,0,87,0,62,0,64,0,4,46500000,120000000,63.10%,
Myles,Garrett,CLE,RE,Texas AM,28,99,12/29/95,76,272,Right,95,8,Power Rusher - DE,91,0,86,0,92,0,88,0,96,0,95,0,39,0,90,0,12,0,34,0,55,0,21,0,52,0,72,0,4,0,91,0,84,0,87,0,88,0,36,0,20,0,20,0,10,0,17,0,51,0,8,0,99,0,45,0,45,0,45,0,10,0,91,0,98,0,44,0,97,0,31,0,45,0,45,0,45,0,Long Stride Default,0,15,0,25,0,87,0,40,0,48,0,92,0,27,0,30,0,31,0,23,0,55,0,16,0,87,0,36,0,51,0,5,40000000,88800000,82.30%,
Chris,Jones,KC,DT,Mississippi St.,30,97,07/03/1994,78,310,Right,95,9,Power Rusher - DT,79,0,74,0,63,0,87,0,96,0,99,0,27,0,88,0,12,0,10,0,29,0,14,0,29,0,62,0,3,0,90,0,86,0,90,0,93,0,31,0,17,0,17,0,9,0,19,0,23,0,6,0,97,0,44,0,45,0,44,0,6,0,95,0,98,0,13,0,97,0,15,0,44,0,45,0,46,0,Default Stride High and Tight,0,13,0,16,0,72,0,21,0,29,0,91,0,6,0,6,0,6,0,6,0,23,0,16,0,93,0,33,0,29,0,3,31750000,60000000,73.20%,
